"","Protein_Group","Genes","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","[5] HS1.raw.PG.MS2Channel3","[6] HS3.raw.PG.MS2Channel3","[7] HS4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2613","O75616","ERAL1",NA,1900.10083,3909.07373,NA,1955.867798,8171.772949,8264.966797,-6.60823626568499,8.53850111482473,-1.93194054454076,0.0961489529252427,0.228836715745153,-4.30746629510455,"Others"
"2614","Q96K17","BTF3L4",4575.64209,183.7657013,NA,155.1008911,3590.524414,3525.877197,3065.502197,-4.98165436509999,8.8789851975586,-1.92872325370403,0.0965993957812853,0.229820827224106,-4.31149531839922,"Others"
"2615","P53597","SUCLG1",NA,NA,NA,34.14252853,NA,1251.874023,877.4177856,-5.40614317615514,3.6007050272929,-1.92687135130558,0.0968596148926701,0.230351795417788,-4.31381384574253,"Others"
"2616","Q15633","TARBP2",130.9053497,136.1316681,324.1186829,126.9258728,178.5774231,23.75572395,NA,3.33230690182096,5.94355950807388,1.92596009890685,0.0969879118297615,0.230463444272162,-4.31495454073496,"Others"
"2617","Q5ST30","VARS2",NA,45.84939194,NA,68.68526459,56.43046188,118.993309,100.9803467,-3.55604888254231,4.44220598314227,-1.92574844049985,0.0970177355048273,0.230463444272162,-4.31521947649082,"Others"
"2618","Q9BXR0","QTRT1",96.07746124,114.7874222,204.2729645,133.1987305,317.8562927,377.7127075,209.4603271,-1.14820245848441,7.54359332836014,-1.9260197135877,0.0969795134641631,0.230463444272162,-4.31487991914245,"Others"
"2619","P45973","CBX5",NA,NA,NA,170.0839539,194.9135284,31.19360542,29.69991112,-3.99967251809181,3.56878552600467,-1.92422697589717,0.0972323824465048,0.230885141823144,-4.31712373967763,"Others"
"2620","Q96S19","METTL26",17.89227104,NA,NA,NA,NA,169.2462311,1497.842285,-4.92710624800552,3.1715480217851,-1.9214656148642,0.097623145306229,0.231636146760564,-4.32057906662091,"Others"
"2621","Q9BWL3","C1orf43",719.6473999,897.5028076,18.60945129,12.61181927,NA,102.925415,NA,4.60806364937917,4.86631412781274,1.92160693413686,0.0976031096831034,0.231636146760564,-4.32040225679012,"Others"
"2622","Q14416","GRM2",18.14488602,NA,52.99577713,44.26631165,175.7071075,120.3599548,67.17590332,-2.94801137829807,5.14194037207282,-1.9207534339659,0.0977241766560653,0.231714794763538,-4.32147006191519,"Others"
"2623","Q9Y485","DMXL1",NA,NA,27.10136986,66.16473389,30.53717995,72.86277771,165.744873,-3.46853517854592,4.2070652181929,-1.92070670092773,0.0977308098833834,0.231714794763538,-4.32152852629813,"Others"
"2624","Q08629","SPOCK1",439.2654114,NA,360.2028503,463.7181396,2314.74707,1698.577637,1658.138062,-4.33337008876683,8.39193543755426,-1.91700793553461,0.0982572123746481,0.232798381328237,-4.3261548518807,"Others"
"2625","Q99943","AGPAT1",120.8499756,NA,234.0048676,309.520752,784.9860229,1347.198486,573.9866333,-3.95650683568556,7.46665950104602,-1.91696945711232,0.0982627031655606,0.232798381328237,-4.32620296998933,"Others"
"2626","P13674","P4HA1",NA,1003.097168,NA,85.58103943,284.5009766,625.3184204,988.0762329,-5.03076516325007,6.25795780981923,-1.91646794232281,0.0983342958327062,0.232879278668545,-4.32683010673361,"Others"
"2627","Q05209","PTPN12",705.6033325,726.3557739,489.3132629,876.322937,425.5716553,514.9090576,242.2615509,0.863455653125362,9.05139715060083,1.91370468221749,0.0987296780897955,0.233726634198872,-4.33028490483927,"Others"
"2628","O60869","EDF1",209.8804016,14.44143772,232.4518585,133.1851959,404.4356995,406.0048828,430.342041,-2.04395353825297,7.52699992779536,-1.91294550047188,0.0988385788122405,0.233806436528461,-4.33123389689934,"Others"
"2629","Q12904","AIMP1",318.5773315,76.56104279,15.75068665,231.292038,29.0387516,NA,37.01598358,3.24504405918017,5.2400732789899,1.91304024844159,0.0988249812693651,0.233806436528461,-4.33111546442143,"Others"
"2630","Q6PCB6","ABHD17C",98.79117584,205.9000702,246.3638916,145.6915131,824.9780273,1014.48761,147.7306824,-1.59463415755465,8.05360548273383,-1.91053425959365,0.0991852409658317,0.234537267515782,-4.33424746674919,"Others"
"2631","O00264","PGRMC1",209.6962433,163.7363281,213.8733978,273.7685242,233.8564758,619.9423828,668.4819336,-1.11383789560252,8.2104720273912,-1.91023502028693,0.0992283454532192,0.234550011544496,-4.33462139988652,"Others"
"2632","P61009","SPCS3",12.0699234,NA,NA,NA,NA,313.7700195,108.5548477,-4.09750991816971,2.6831203743959,-1.90928844836903,0.0993648171800686,0.234783357919015,-4.33580416573676,"Others"
"2633","O95070","YIF1A",204.2792969,NA,424.7414246,NA,276.3861389,701.7463379,576.5083008,-4.81161716397047,6.16594113789597,-1.90865687256399,0.0994559767865907,0.234909502330348,-4.33659326633493,"Others"
"2634","Q14697","GANAB",4235.727539,NA,13.95169353,747.7211914,2128.7229,4145.614746,4496.891113,-5.36158634257585,8.67263682166292,-1.90824743633382,0.0995151172915083,0.234959952329495,-4.33710479250698,"Others"
"2635","Q6P4A8","PLBD1",NA,337.6323853,NA,NA,67.2124176,43.72698212,212.6675873,-4.33719271963391,3.95969091548405,-1.90527145794202,0.0999460159742345,0.235798282755601,-4.340822102192,"Others"
"2636","Q9Y287","ITM2B",NA,28.45089531,15.54061413,471.3000793,639.4934692,166.0779572,273.5913086,-3.81658482088434,6.08861432165569,-1.90528480385466,0.099944079512888,0.235798282755601,-4.34080543452998,"Others"
"2637","Q99643","SDHC",1197.412354,179.1535339,328.1205139,144.513855,259.1951599,27.24635315,53.14513779,2.11613486745132,7.40995422773975,1.90386317104766,0.10015056196173,0.236191257049677,-4.34258076495388,"Others"
"2638","P26599","PTBP1",210.0136261,356.9273376,NA,17.0694046,476.86026,506.2420349,577.1789551,-3.92573450310425,6.77750573025036,-1.90280134316126,0.100305057854895,0.236465941925547,-4.34390658512999,"Others"
"2639","Q9UJF2","RASAL2",906.5366211,109.4224777,450.9150696,266.0504761,241.0662689,69.87982941,NA,3.68454082995072,6.79430572786759,1.90060197782363,0.100625808439434,0.237132210187511,-4.34665224688431,"Others"
"2640","Q99627","COPS8",NA,337.9379883,NA,NA,437.0641785,196.7531891,14.26205063,-4.67692478326649,4.10561571905403,-1.89952948747994,0.100782582255061,0.23741169660766,-4.34799088004137,"Others"
"2641","P29372","MPG",NA,914.4985352,NA,NA,249.835022,42.40668488,670.6762085,-5.14108403787605,4.66292517238916,-1.89346628138301,0.101673393794695,0.239419475959564,-4.35555556982601,"Others"
"2642","P43304","GPD2",141.6510468,257.7758179,108.7583084,208.7794037,74.99062347,NA,87.32987213,3.17817893039817,6.05362858836466,1.89282404062381,0.101768202554844,0.239552025620201,-4.35635654066987,"Others"
"2643","Q9H981","ACTR8",1579.789917,NA,NA,NA,417.2762451,300.6770935,123.4799194,-5.31170679066433,4.93305325106728,-1.89249075646209,0.101817436662789,0.239577237459662,-4.35677217232548,"Others"
"2644","O00425","IGF2BP3",122.0955734,NA,118.2802658,53.60620117,188.7403412,489.7016907,370.3400269,-3.44451748102558,6.37943166002295,-1.89087257194476,0.102056812983387,0.240049667149654,-4.35878994407502,"Others"
"2645","Q6ZS17","RIPOR1",40.25297165,18.21052933,18.96083641,129.8054199,NA,NA,65.80037689,3.22456279289654,3.86320208934132,1.88772221142769,0.10252442261581,0.241058368335622,-4.36271713097741,"Others"
"2646","Q15527","SURF2",NA,818.0918579,NA,651.2005615,1180.313354,1024.578735,1188.459595,-5.3847330297419,7.06450605607182,-1.88701255185245,0.102630046543584,0.24121551755652,-4.36360157737515,"Others"
"2647","P11413","G6PD",1757.339966,1994.66272,1281.11499,663.4118042,857.7993774,358.2976379,899.6495972,1.01071189271319,9.92756135030016,1.8817817603759,0.103411872644949,0.24292161921884,-4.37011836793321,"Others"
"2648","Q04726","TLE3",NA,NA,NA,279.8719177,127.9275589,51.74964523,49.92144775,-4.10046048488916,3.79078235207762,-1.88163385033664,0.10343406459101,0.24292161921884,-4.37030258196387,"Others"
"2649","Q9NWW5","CLN6",NA,NA,739.0021362,NA,811.3851929,127.8879166,43.17988968,-4.9975906772123,4.52467098225312,-1.87986666876791,0.103699566959542,0.243453230245901,-4.37250325517835,"Others"
"2650","Q9HCE5","METTL14",2278.199707,NA,NA,NA,112.3259659,1207.72876,295.7879944,-5.6370548915284,5.20445857429099,-1.87928056906627,0.103787769837947,0.243568354951772,-4.3732330209086,"Others"
"2651","P59780","AP3S2",19.89597511,NA,39.91405487,NA,53.00959778,184.2838898,13.35955048,-3.27597262263405,3.83890771655296,-1.87773237238736,0.104021112457824,0.244023877169071,-4.37516046267765,"Others"
"2652","Q9NVS9","PNPO",127.0918427,257.2733154,184.4704895,239.3404388,110.2506943,60.04921341,91.23066711,1.19552743585937,7.10207385450921,1.87712821784865,0.104112308914801,0.24414571988731,-4.37591251093482,"Others"
"2653","Q53FT3","HIKESHI",794.3383179,593.6166382,599.3491211,761.0927124,NA,445.4253235,222.9140472,3.87732161493435,7.75197111278615,1.87663320830512,0.10418708824007,0.244228986718806,-4.37652865435347,"Others"
"2654","P49321","NASP",NA,NA,41.83529282,89.96231079,105.7212372,40.34923172,219.0426025,-3.6477291275028,4.54529374450236,-1.87593558399177,0.104292564894967,0.24430398405646,-4.37739693049227,"Others"
"2655","P62491","RAB11A",677.65802,638.703125,797.6296997,1065.029175,838.140686,1431.121094,1691.256836,-0.700343046964973,9.90695047164963,-1.87566341985084,0.104333742760945,0.24430398405646,-4.37773565070766,"Others"
"2656","Q8WUM4","PDCD6IP",NA,28.23715019,175.647583,NA,92.70855713,201.388855,83.09474182,-3.78473095867673,4.70564280112952,-1.87564234338306,0.104336932248586,0.24430398405646,-4.37776188082049,"Others"
"2657","Q9BSD7","NTPCR",NA,NA,11.54501247,NA,129.1239471,126.4297714,NA,-3.76017324779053,2.52376332040757,-1.87059402190544,0.105103639005412,0.246006598033368,-4.38404264284504,"Others"
"2658","P13010","XRCC5",523.9306641,NA,NA,632.6789551,1025.19043,622.1901855,1007.589905,-5.16901397328137,6.80118954253776,-1.86953820141991,0.105264683980043,0.246290846377686,-4.38535571759556,"Others"
"2659","Q8N0V4","LGI2",NA,2559.650391,926.7780762,NA,2909.739258,2110.964111,2151.9021,-5.91288620233842,7.82907671742276,-1.86779235274935,0.10553150760388,0.246737765124708,-4.38752656452817,"Others"
"2660","Q96AH8","RAB7B",NA,359.4680786,NA,53.07597351,184.6422119,212.9878235,279.7721863,-4.24101315045949,5.38023794549783,-1.86776922530297,0.105535046668552,0.246737765124708,-4.38755531875449,"Others"
