"","PG.Genes","row_mean.HN_L","row_mean.HS_L","row_mean.HN_H","row_mean.HS_H"
"217","SCAMP1",3184.39459225,1679.67287186667,NA,NA
"218","SCAMP2",2243.4349365,1008.2180073,NA,222.383316053333
"219","ARPC1B",5941.55676275,9566.435059,117.9430885475,396.44003295
"220","ARPC2",43057.0556625,27725.42643,49.78294118,89.7303724233333
"221","ARPC3",17796.701175,14944.0279933333,230.64230345,471.988911933333
"222","BET1",1836.733185,2868.56779,NA,216.417521166667
"223","POLR1C",1332.324524,4789.822754,842.413444533333,1589.51202406667
"224","PGRMC2",7677.31481925,8410.760905,NA,NA
"225","RGL2",5140.7677005,2279.123698,269.151126875,88.35315324
"226","PFDN6",538.6765696,NA,NA,NA
"227","GSTA4",36762.58252,39640.9694033333,1180.524681075,1799.65861
"228","NKRF",1674.1375733,5618.24365233333,NA,1422.6057942
"229","GNPAT",2028.985321,4178.33805366667,NA,50.647224425
"230","LAMA5",1027.337799,1944.48219806667,429.567403133333,137.180903126667
"231","MRPS12",814.666564833333,992.8756001,2043.34246823333,434.9031474
"232","NDUFA1",6106.70861825,5895.71988933333,NA,169.00366784
"233","VGF",5847.3343505,3325.61572233333,467.249420175,1334.48840346667
"234","ACOX3",1159.565063425,4901.11735033333,NA,NA
"235","RER1",35565.2453315,25970.82357,NA,103.00321963
"236","SURF4",14355.28003,25063.0507833333,325.49064635,318.844299333333
"237","SPTLC1",1367.29473875,5695.88151066667,NA,272.69602586
"238","SPTLC2",1376.1092222,2682.32324233333,648.86483375,318.0183716
"239","OGT",4726.47534175,5634.75927733333,NA,368.360960653333
"240","PMM2",2494.64074725,1939.408895,261.10326005,136.435259506667
"241","MID1",1794.982651,2575.023519,NA,61.4297781
"242","HMGB3",1067.68697365,17154.3681666667,NA,132.77784727
"243","PPM1G",530.517547566667,19941.3027333333,NA,107.347980475
"244","INPPL1",25740.610611075,2879.792318,NA,561.438700366667
"245","EIF3D",3960.8311155,36335.4166666667,NA,102.182208056667
"246","EIF3H",1450.003479,12215.19564,NA,104.032035833333
"247","BCAT2",7017.383301,6274.583008,333.4364586,692.6624756
"248","NCAM2",15795.8317875,7631.37597666667,NA,NA
"249","IPO8",2801.090332,4719.109131,NA,NA
"250","STX7",36879.896485,23412.0664066667,NA,77.18578912
"251","ABCC4",1348.042907825,855.923848633333,NA,NA
"252","POLR1G",3084.49894233333,6725.57161466667,NA,84.7563101333333
"253","CAPN5",3749.42938225,2778.41707366667,NA,1138.67434685
"254","GYG2",1104.237869075,1146.57989506667,NA,NA
"255","YKT6",24515.427735,11459.0260446667,121.86650086,238.561238616667
"256","ARPC5",23783.967775,11598.1402993333,NA,NA
"257","PDPK1",9578.806884,4882.32552066667,NA,118.84937285
"258","FABP7",1433.667694025,16299.5478516667,NA,1811.35599786667
"259","DHX15",1125.72991945,31627.2213566667,NA,287.866982143333
"260","SGSM2",1090.98478176667,NA,1217.4493,NA
"261","ZZEF1",7745.60034175,4129.906169,NA,55.0769135166667
"262","ASAP2",3799.5164795,1141.75423173333,NA,NA
"263","TTI1",656.092247,1417.4956666,NA,NA
"264","PLXNB1",10464.340577,5980.74479166667,103.2434058075,NA
"265","CYB5B",8689.76647875,16821.0934233333,319.431437166667,261.891825366667
"266","PRPF4",4074.009359,10555.5628273333,NA,616.193374666667
"267","PHGDH",178506.851575,127892.6719,1154.9307404,1449.98445633333
"268","NDUFS4",10026.27612425,7703.82861333333,NA,NA
"269","ADAM12",2465.477661,915.9192304,NA,NA
"270","SEPTIN4",3813.729248,57559.90625,NA,NA
"271","DYNC1LI2",31967.0595725,24257.9954433333,65.2728097375,144.209852843333
"272","PSMD3",10982.08838,16182.14225,NA,51.150018695
"273","ZW10",2922.869507,5887.455729,242.058071125,315.455851233333
"274","MAP3K13",439.752460475,NA,NA,NA
"275","SART1",346.80669658,4287.545817,NA,287.795405066667
"276","GPAA1",5645.8015135,8959.47477233333,NA,139.81954957
"277","SRGAP3",16325.993165,6231.67399066667,72.7159267933333,132.706359856667
"278","HSPA12A",12348.43872,7235.41113266667,NA,NA
"279","CCP110",655.42210015,1369.5944621,58.1759866133333,NA
"280","ADCY6",3872.44934075,2433.491618,NA,168.1018219
"281","CTIF",1942.61410525,2039.16605633333,100.06623969,116.659526805
"282","PPIP5K2",11201.6237775,5801.54996733333,NA,NA
"283","MAP3K7",3181.22521975,1667.138387,NA,NA
"284","EEF1E1",2542.8905335,10899.3330096667,315.0679321,418.1473287
"285","LYRM1",4301.09851075,3872.63736966667,NA,NA
"286","HNRNPR",4235.0583495,157891.473966667,NA,1262.98746766667
"287","TXNL1",19308.763185,21789.9583333333,437.21975325,336.5631205
"288","TPD52L2",14484.85034,11428.4824233333,NA,24.50077343
"289","EMC8",1985.49517825,4404.15812166667,680.466392425,536.090535466667
"290","SYNJ1",6268.66363525,3137.66658533333,NA,NA
"291","FIBP",6626.240845,3919.81022133333,982.646545375,365.190175366667
"292","EIF4G3",3706.618286,8267.91162133333,449.2053337,327.797037766667
"293","PPIH",5629.409505,12484.72526,NA,NA
"294","HTRA2",28783.2709975,27413.5957033333,NA,NA
"295","AKR7A2",17521.41406,15227.6070933333,NA,92.22534435
"296","EPB41L2",3869.4505005,7209.19254566667,186.66374205,90.1185836833333
"297","B4GAT1",3726.782959,7159.50032533333,NA,853.979777033333
"298","KCNQ2",3313.19714375,2629.277588,NA,NA
"299","AKAP10",2288.9718935,1263.69354233333,220.04444885,191.656249993333
"300","SYT7",16812.823245,4381.02563466667,169.8657964,230.968800866667
"301","DENR",7793.0183105,5336.47119133333,NA,304.613534313333
"302","XPOT",11119.2517095,11571.7633466667,NA,103.63447189
"303","SPRY2",302.073694866667,407.26663205,NA,NA
"304","DNPH1",9333.66210875,9549.76367233333,299.77529145,158.210020703333
"305","DCX",196615.39845,92344.36199,NA,992.555440266667
"306","TIMM44",24612.5292975,23414.4537733333,34.4398733733333,NA
"307","TRAPPC3",7189.4991455,6287.794759,136.6663017275,233.269861866667
"308","CHMP2A",6194.94116225,7779.37272133333,NA,130.699658405
"309","NCK2",8637.637207,2397.973348,275.686328875,138.230367016667
"310","RGS10",1902.92797833333,2901.813151,NA,NA
"311","ZNF207",2331.44348175,9210.13964866667,NA,168.14815011
"312","NDUFB5",8237.80236825,7556.806478,NA,NA
"313","NDUFB3",15725.722655,10889.5094393333,NA,NA
"314","NDUFA2",28564.9492175,16573.0214866667,NA,193.670978545
"315","GET3",45438.1464825,46341.7278633333,NA,317.901972466667
"316","BUB1",5043.19256575,35204.8926196667,NA,361.4073715
"317","BUB3",1080.4171218,18598.71745,NA,41.4201310466667
"318","ACTN4",83105.78711,41207.8398433333,NA,41.110062595
