,JR_7961_S1,JR_7961_S2,JR_7961_S3,JR_7961_S4,JR_7961_S5,JR_7961_S6,JR_7961_S7,JR_7961_S8,JR_7961_S9,JR_7961_S10
SNORA67,0.237954925716956,0,2.02809117902593,0.561818961530695,0.838914314781774,4.0715799026134,4.56138877903637,4.39648509102946,4.73010022046599,3.59679123451945
SNORA68,0,0.805413842414415,0.985499959841378,0.750347858684219,1.2094993989947,2.91409834044874,2.13074883923921,2.88627969149462,3.01453992117479,2.96450954205269
SNORA70,0.790796016978514,1.7099001193869,2.91580561118207,2.76152256236199,3.07745366535802,9.15855443416832,7.01879555004059,5.09676830521366,6.7049550479468,7.18504899497185
SNORA71B,0.567885672989947,1.5207089812594,7.29035189591281,8.472853457604,4.13604577138175,16.4587146684395,13.2762358707818,8.58552320368388,10.0834124078894,15.1047191465366
SNORA72,0.0694379628670119,0,0.295418135839254,0.160350740668792,0.142211791114451,1.25046280866442,1.1257888856073,0.92769787575858,1.0100864428413,1.29510770784474
SNORA73A,44.9487407902362,74.3754174374853,104.80640902648,105.845365822913,70.6495586962477,80.9339176798446,102.322681846519,90.672316024907,97.8808280826619,78.2790188176842
SNORA73B,84.4115323080891,161.343271655036,254.825016137758,195.378859779972,130.58075111999,133.292297214664,226.541385019421,245.379852753946,166.841453476905,133.329674921616
SNORA74A,0.427921593983652,0.589400323792262,1.49788953201911,1.34964791171934,1.42404507436293,3.83957310321801,6.26037271116023,7.4736239262498,3.3490180670353,2.27614581481035
SNORA74B,1.36074072283848,2.70177896202609,7.25472162634065,5.40819780505455,5.65078224717322,6.00325042465657,8.88216283453191,10.5142899273357,4.30494904443043,6.6549194904313
SNORA75,0,0,0,0,0,1.03167861563011,2.59114682816696,0.771378666665957,1.78501663255129,1.08438736859202
SNORA79B,3.98673455181981,7.89486545735837,13.3935278952972,15.2124758125305,8.15695126979186,15.1045473171263,9.66350294831699,10.7603823201997,10.3350167170349,15.0550670562662
SNORA7A,2.48711498309963,3.9174181623661,6.81013129099686,6.03543286249318,3.98616356836531,14.2885759178803,12.2150816359345,9.00192664625827,14.1122023321296,13.1799830557533
SNORA7B,0.537617865946723,0.65716977938137,2.53090069557059,1.76723307519002,0.920768639572295,2.99130534128494,2.74473701495941,2.89659712347707,2.27994953549742,3.15266187594523
SNORA8,1.53261401461465,4.07080937727461,3.34661277091006,1.63467762857496,1.55521992784194,9.63462384195078,8.44292320427969,4.70423625836627,6.77149376987587,5.62974443356657
SNORA81,0,0.547281849616206,1.79802487209134,0,1.24886556471516,4.61129243502068,14.48252271536,1.65931251558534,18.3965050794286,8.14728883296196
SNORA9,1.27709555267228,0.430557569002083,3.73349971085572,2.85705969771944,1.39939406892931,3.30769817364172,2.21707912985122,2.44580654641035,2.43101260327102,1.82568165628114
SNORC,0.698663650808999,0.51061678113862,0.787670987061674,1.2937590926223,1.92253113548703,1.75161044648933,0.726809860668992,4.41026119038894,2.89121629897406,1.62605125402626
SNORD10,11.3991763497104,40.6683980907836,6.43101627817099,26.8952374597703,21.2557806060413,224.241281333585,229.668411974015,173.66913169997,233.74582983602,180.829790879682
SNORD115-15,0,0.177769718841973,0.374058210665184,0.640923820604287,0.367486648523329,2.81003646611583,1.15630970614674,0.916031473614204,1.62953591940153,2.30534808846443
SNORD115-16,0.228600810956391,0,0,0.314904901409504,0.337933192752417,2.83957839599775,0.6751157080935,0.81067347784251,0.794749572507384,3.24178319308314
SNORD115-17,0,0.341001138437649,0.110345144961922,0.274516523290811,0.227653796462886,5.21251916522738,2.42397409001856,1.21280417337012,3.37101943891424,5.17913140485305
SNORD115-23,0.647453676341169,1.19173451697388,0.550907746165593,0.822328590080919,0.909265124142525,7.52746921416807,3.08598494573516,1.78767565917491,6.08055519549547,6.03792372414357
SNORD115-30,0.0647453676341169,0.085123894069563,0.0550907746165593,0.274109530026973,0.757720936785438,1.70836180747077,1.02866164857839,0.519002610728199,2.60595222664092,3.17485530222562
SNORD115-33,0.388472205804702,0.255371682208689,0.495816971549033,0.41116429504046,0.454632562071263,5.23185803537923,2.72292789329573,1.5570078321846,3.04027759774774,4.65782687291075
SNORD115-34,0.129490735268234,0.366373240075399,0.165272323849678,0.440082850458305,0.260428685973155,3.32815573248547,1.34361364156959,0.596449333640195,1.44842082196985,2.48946470348213
SNORD115-39,0.0742629366763321,0.113299903006588,0.220363098466237,0.154118083257666,0.258231295256477,4.10487310551335,1.91385525193446,0.965690857694935,1.94431181443107,3.56162744478362
SNORD115-40,0.252830660611227,0.0899759560315282,0.155521256742547,0.137534456691034,0.325592686536703,2.50552613588182,0.942677636658982,0.740732059422635,1.13342634657463,2.25036292400604
SNORD115-41,0.292066353397502,0.241070868005003,0.210446759035256,0.392867483911159,0.346126923923588,4.06670189637768,2.22735501671591,0.945738090660273,2.42918180060044,5.0090615215495
SNORD115-44,0,0.0856124354473614,0,0.068920673511962,0,1.19842106674781,1.08379846130109,0.768472410995591,1.31979111385376,2.16010219690708
SNORD116-1,1.06819342166853,0,0,1.19141428698495,1.2020843467553,7.01257603435582,3.65328944979683,2.37524841960445,5.94930904898407,8.647384491729
SNORD116-14,0,0.371176637634495,0,0,0.750678670250765,4.63945682882515,2.36182780819294,1.8280746997955,3.04299273991183,5.14878808072522
SNORD116-15,0.507394059015375,1.12023534660884,1.41565884700545,1.19125273108753,1.37909278137965,15.6721017922792,8.32272533614207,5.41713515863809,10.765570781566,16.6288701728326
SNORD116-16,0.91970530671169,1.14650305362188,1.72788702882161,1.1977132761793,1.68794233563232,10.9357289370056,6.77842151458864,3.87525518969996,7.72302589913689,9.42850445288424
SNORD116-17,0,0.407452289351369,0,1.0447819418684,1.39801384660287,14.7966416027708,7.98855739697644,5.09132470552436,10.0154812089189,15.6512194588911
SNORD116-2,0,0,0.648705727560913,1.91571020183128,0.605163188756656,12.8889127054178,8.24189934530087,4.60202358380589,9.87975044406062,13.6232060163472
SNORD116-20,0,0,0,0,0,5.58260955445828,2.82421398231437,1.59557272068322,2.87344066255223,5.89832720242647
SNORD116-22,0,0,0.5963822284902,0,0,8.44631096905039,4.13727967624528,2.11406500018425,4.30410042995003,8.78583537856148
SNORD116-23,0,0.408937746979285,0,0.468125980878707,0.56064758386873,2.45739354959315,1.63351349383875,1.34947423306676,3.00900240887377,3.17465657114292
SNORD116-24,0,0.750230391412818,0,0,0.927651600179629,13.8683169035574,8.01990185661346,3.3493983007705,5.99235323528203,12.6099890187289
SNORD116-3,6.98698577557763,11.3931422788231,13.9056377599256,16.9144628962316,14.2541319320242,66.0918530261765,39.5600431395136,26.3030892925251,45.9203581298059,61.800145384971
SNORD116-5,0.666434872381296,0,0,0.539435635372714,1.88726564446026,6.32879522318905,6.15784237903349,4.54641580780301,5.83110837878734,5.0503191085235
SNORD116-6,0.196087054948078,0,0.39012316833541,0.29412376694929,1.47842530008958,10.9968575400137,6.80834168522045,4.11803488382713,8.74426512354667,12.3284202141766
SNORD116-8,0.930020676506263,0.947989508300912,1.4672690839024,1.80406129943119,1.04334759366149,13.5719304413194,9.16936568900718,6.64019490260005,9.90492350225662,13.5560191057092
SNORD118,0,0.278815776360768,0.364504646673904,0,0.201332297434017,5.59630205637683,3.05752556890093,3.15416226574616,2.63489209536825,2.33484896053692
SNORD12,0,0,0.131066785094644,0,0.303120929787987,2.75380166226387,1.32615628599101,0.7930023267683,1.64419766410976,3.33043130445676
SNORD12B,0.0764410812322606,0.0838905003570301,0.211415161002873,0.218580110811504,0.435947990659828,7.28976251487966,3.33025125878905,3.1940168872239,4.53773049304799,8.22695638092624
SNORD13,1.59493893155624,2.00957136987933,1.58329203286168,2.52288246112315,2.4409012761387,8.80118466783868,8.75723200945435,3.9657556521756,7.69003674463502,8.60051724876998
SNORD15A,4.44025997549063,5.99483450395412,9.31166018638587,5.05598643478776,7.56992964849573,32.6123294233955,41.2956675220718,36.8243841230716,35.4770635596491,23.2716705225721
SNORD15B,20.41946104933,29.3116983654653,37.2312546684194,30.0274428759079,33.6678091514202,129.01591941416,119.804308164258,119.834024181323,107.438653297358,76.5645122157188
SNORD16,0.156350247755639,0,0.417478183130651,0.521220560546693,0.362493029991405,10.89659584004,9.43446026601785,6.63648380246391,8.86187794617229,8.95028672982148
